,city,lat,lon,temp,wind_speed,humidity %,cloudiness %
336,Carballo,43.21,-8.69,61.61,2.24,93,0
337,Praia da Vitoria,38.73,-27.07,68.0,15.61,82,20
338,Camacha,33.08,-16.33,70.16,8.05,78,40
339,Cascais,38.7,-9.42,63.37,8.05,88,0
340,Bani,16.02,42.93,86.81,7.85,80,63
341,Mucurapo,10.67,-61.53,77.92,13.38,88,40
342,Pimentel,-3.7,-45.5,72.59,3.09,92,68
343,Amapa,15.09,-87.97,84.2,9.17,79,20
344,Samarai,-10.62,150.67,74.06,7.4,87,99
345,Bella Vista,-27.03,-65.31,55.4,6.93,76,99
346,Noumea,-22.28,166.46,73.2,13.87,53,75
347,Soroti,1.71,33.61,66.2,5.14,90,68
348,Zlobin,45.29,14.65,65.71,8.05,60,0
349,Bantilan,14.75,121.67,87.2,3.2,62,100
350,Qostanay,53.17,63.58,64.4,4.47,55,0
351,Alexandria,43.97,25.33,71.7,9.01,53,0
352,Jinchang,38.52,102.19,69.45,6.98,41,24
353,Gizo,31.8,34.94,74.07,5.82,74,20
354,Boende,-0.28,20.88,70.17,4.52,96,100
355,Cabo San Lucas,22.89,-109.91,81.63,3.36,83,5
356,Turukhansk,65.8,87.96,60.18,13.6,78,97
357,Nantucket,41.28,-70.1,64.44,12.75,82,1
358,Te Anau,-45.41,167.72,42.47,6.58,87,100
359,Bowen,-20.01,148.25,76.53,11.41,53,90
360,Labe,7.7,8.47,70.01,2.35,97,100
361,Tilichiki,60.47,166.1,58.64,6.71,74,95
362,Guarda,40.54,-7.27,59.34,1.32,64,42
363,Goicea,43.92,23.62,70.32,8.05,72,0
364,Inta,66.04,60.13,42.87,7.27,79,80
365,Jizan,16.89,42.56,89.6,8.05,70,40
366,Pasighat,28.06,95.33,87.22,0.96,51,0
367,Hambantota,6.12,81.12,82.4,10.29,94,90
368,Maceio,-9.67,-35.74,71.6,2.24,94,40
369,Emerald,-23.53,148.16,75.61,6.93,33,40
370,Ginda,30.69,78.49,78.8,1.05,94,90
371,Coruripe,-10.12,-36.18,67.06,3.85,94,100
372,Honiara,-9.43,159.96,87.8,9.17,66,40
